CPU Usage: 1.494396%, Memory Usage: 25.689161%
CPU Usage: 0.311915%, Memory Usage: 25.685941%
CPU Usage: 0.562852%, Memory Usage: 25.680063%
CPU Usage: 0.936914%, Memory Usage: 25.679399%
CPU Usage: 1.188986%, Memory Usage: 25.679296%
CPU Usage: 0.374532%, Memory Usage: 25.679348%
CPU Usage: 0.874453%, Memory Usage: 25.646635%
CPU Usage: 0.311915%, Memory Usage: 25.646533%
CPU Usage: 1.192718%, Memory Usage: 25.644335%
CPU Usage: 0.876644%, Memory Usage: 25.690541%
CPU Usage: 1.308411%, Memory Usage: 25.693659%
CPU Usage: 0.374065%, Memory Usage: 25.687015%
CPU Usage: 1.058531%, Memory Usage: 25.667796%
CPU Usage: 1.184539%, Memory Usage: 25.658136%
CPU Usage: 0.751880%, Memory Usage: 25.667438%
CPU Usage: 0.998752%, Memory Usage: 25.653791%
CPU Usage: 0.062422%, Memory Usage: 25.653689%
CPU Usage: 0.625782%, Memory Usage: 25.654251%
CPU Usage: 0.687930%, Memory Usage: 25.653638%
CPU Usage: 1.627034%, Memory Usage: 25.680012%
CPU Usage: 0.312305%, Memory Usage: 25.646533%
CPU Usage: 1.061174%, Memory Usage: 25.652820%
CPU Usage: 0.249221%, Memory Usage: 25.652820%
CPU Usage: 2.188868%, Memory Usage: 25.673265%
CPU Usage: 0.688791%, Memory Usage: 25.668154%
CPU Usage: 0.877193%, Memory Usage: 25.677507%
CPU Usage: 0.187032%, Memory Usage: 25.677303%
CPU Usage: 0.813008%, Memory Usage: 25.683846%
CPU Usage: 0.563204%, Memory Usage: 25.670863%
CPU Usage: 1.067169%, Memory Usage: 25.709044%
CPU Usage: 0.374532%, Memory Usage: 25.705926%
CPU Usage: 0.937500%, Memory Usage: 25.718603%
CPU Usage: 0.374065%, Memory Usage: 25.686810%
CPU Usage: 1.563477%, Memory Usage: 25.705722%
CPU Usage: 1.061836%, Memory Usage: 25.706233%
CPU Usage: 0.561447%, Memory Usage: 25.712111%
